PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Shane Lowry,67.75,271,4,2022,70.17,842,12,23.0,0.569,10.243,18.0,23.0,0.27,4.86,18.0,23.0,0.916,0.27,0.66,-0.015,18.0,67.75,271.0,4.0,23.0,-0.015,-0.27,18.0,23.0,0.66,11.878,18.0,1.0,0.0,1.0,0.0,12361938.0,35.0,-7.0,3.3000000000000114
Patrick Cantlay,68.0,340,5,2022,68.57,960,14,25.0,0.535,9.633,18.0,25.0,0.5,9.008,18.0,25.0,0.779,0.5,-0.177,0.455,18.0,68.8,344.0,5.0,25.0,0.455,8.187,18.0,25.0,-0.177,-3.181,18.0,4.0,0.0,1.0,0.0,24349470.0,5.0,-46.0,-5.149999999999977
Matt Fitzpatrick,68.0,408,6,2022,69.73,1046,15,29.0,0.539,8.627,16.0,29.0,0.409,6.538,16.0,29.0,1.514,0.409,0.635,0.47,16.0,70.17,421.0,6.0,29.0,0.47,7.524,16.0,29.0,0.635,10.157,16.0,4.0,0.0,0.0,0.0,8426341.0,24.0,-106.0,8.110000000000014
Justin Thomas,68.0,544,8,2022,67.63,1082,16,35.0,0.044,1.183,27.0,35.0,0.546,14.746,27.0,35.0,1.757,0.546,0.903,0.306,27.0,68.75,550.0,8.0,35.0,0.306,8.275,27.0,35.0,0.903,24.394,27.0,5.0,0.0,0.0,2.0,46382064.0,7.0,-26.0,7.920000000000016
Xander Schauffele,68.14,477,7,2022,69.63,1114,16,33.0,0.215,5.363,25.0,33.0,0.411,10.264,25.0,33.0,1.067,0.411,0.418,0.238,25.0,68.29,478.0,7.0,33.0,0.238,5.945,25.0,33.0,0.418,10.46,25.0,1.0,0.0,0.0,1.0,24313572.0,10.0,-2.0,-3.1499999999999773
Collin Morikawa,68.2,341,5,2022,69.5,834,12,26.0,0.424,7.628,18.0,26.0,0.614,11.055,18.0,26.0,0.937,0.614,0.609,-0.287,18.0,66.2,331.0,5.0,26.0,-0.287,-5.166,18.0,26.0,0.609,10.97,18.0,5.0,0.0,2.0,0.0,16968212.0,3.0,142.0,-6.419999999999959
Daniel Berger,68.25,273,4,2022,68.6,686,10,21.0,0.328,5.568,17.0,21.0,0.303,5.15,17.0,21.0,1.374,0.303,0.577,0.494,17.0,71.0,284.0,4.0,21.0,0.494,8.399,17.0,21.0,0.577,9.811,17.0,2.0,0.0,0.0,0.0,22987485.0,22.0,-9.0,-5.950000000000017
Jason Kokrak,68.29,478,7,2022,70.5,1269,18,35.0,0.424,13.576,32.0,35.0,-0.184,-5.885,32.0,35.0,-0.182,-0.184,0.16,-0.158,32.0,70.29,492.0,7.0,35.0,-0.158,-5.064,32.0,35.0,0.16,5.125,32.0,1.0,1.0,0.0,0.0,19962350.0,28.0,60.0,-5.02000000000001
Cameron Smith,68.33,410,6,2022,67.86,950,14,26.0,1.048,26.21,25.0,26.0,-0.206,-5.156,25.0,26.0,1.0,-0.206,0.809,0.396,25.0,67.0,402.0,6.0,26.0,0.396,9.908,25.0,26.0,0.809,20.23,25.0,4.0,2.0,0.0,0.0,22726511.0,6.0,-11.0,-6.930000000000007
Kevin Streelman,68.33,820,12,2022,70.75,2264,32,52.0,0.109,4.809,44.0,52.0,0.303,13.34,44.0,52.0,0.421,0.303,-0.193,0.31,44.0,70.8,708.0,10.0,52.0,0.31,13.644,44.0,52.0,-0.193,-8.487,44.0,1.0,0.0,0.0,0.0,24260891.0,88.0,-53.0,4.640000000000001
Tom Hoge,68.5,822,12,2022,69.09,2349,34,59.0,-0.103,-4.325,42.0,59.0,0.156,6.57,42.0,59.0,1.18,0.156,0.871,0.152,42.0,70.42,845.0,12.0,59.0,0.152,6.384,42.0,59.0,0.871,36.597,42.0,3.0,1.0,1.0,0.0,10522473.0,38.0,-28.0,-1.3199999999999932
Ben Kohles,68.5,411,6,2022,71.04,1847,26,35.0,-0.145,-2.471,17.0,35.0,-0.808,-13.733,17.0,35.0,-0.969,-0.808,-0.172,0.01,17.0,72.2,361.0,5.0,35.0,0.01,0.177,17.0,35.0,-0.172,-2.925,17.0,0.0,0.0,0.0,0.0,620499.0,462.0,-5.0,0.7400000000000002
Stewart Cink,68.67,412,6,2022,70.78,1628,23,33.0,-0.003,-0.078,30.0,33.0,-0.197,-5.911,30.0,33.0,-0.695,-0.197,-0.086,-0.412,30.0,70.0,350.0,5.0,33.0,-0.412,-12.36,30.0,33.0,-0.086,-2.584,30.0,1.0,0.0,0.0,0.0,42189517.0,71.0,-87.0,4.710000000000008
Luke Donald,68.67,412,6,2022,70.25,1686,24,33.0,-0.021,-0.426,20.0,33.0,-0.866,-17.317,20.0,33.0,0.156,-0.866,0.947,0.074,20.0,71.6,358.0,5.0,33.0,0.074,1.483,20.0,33.0,0.947,18.949,20.0,0.0,0.0,0.0,0.0,37031619.0,482.0,-65.0,3.8200000000000003
Talor Gooch,68.67,824,12,2022,68.83,1996,29,54.0,0.093,3.992,43.0,54.0,-0.168,-7.204,43.0,54.0,0.986,-0.168,0.632,0.521,43.0,69.18,761.0,11.0,54.0,0.521,22.391,43.0,54.0,0.632,27.179,43.0,4.0,1.0,0.0,0.0,8587166.0,33.0,-11.0,0.4000000000000057
Harold Varner III,68.67,412,6,2022,69.65,1393,20,34.0,0.06,1.614,27.0,34.0,-0.106,-2.865,27.0,34.0,0.398,-0.106,0.109,0.395,27.0,70.5,423.0,6.0,34.0,0.395,10.672,27.0,34.0,0.109,2.939,27.0,1.0,0.0,0.0,0.0,9332736.0,40.0,29.0,2.0800000000000125
Davis Riley,68.78,619,9,2022,69.63,2228,32,48.0,0.011,0.404,36.0,48.0,0.268,9.653,36.0,48.0,0.199,0.268,-0.069,0.0,36.0,71.78,646.0,9.0,48.0,0.0,-0.017,36.0,48.0,-0.069,-2.479,36.0,2.0,0.0,1.0,0.0,1393292.0,172.0,-42.0,30.389999999999997
Jonathan Byrd,68.8,344,5,2022,70.85,1417,20,27.0,0.238,3.091,13.0,27.0,-0.464,-6.031,13.0,27.0,-0.223,-0.464,-0.166,0.407,13.0,69.75,279.0,4.0,27.0,0.407,5.297,13.0,27.0,-0.166,-2.16,13.0,1.0,0.0,0.0,0.0,19854928.0,557.0,-42.0,-0.20000000000000107
Tommy Fleetwood,68.8,344,5,2022,69.92,839,12,25.0,0.461,8.289,18.0,25.0,0.203,3.655,18.0,25.0,0.602,0.203,-0.211,0.609,18.0,71.2,356.0,5.0,25.0,0.609,10.96,18.0,25.0,-0.211,-3.793,18.0,1.0,0.0,0.0,0.0,11747170.0,46.0,-79.0,1.1899999999999977
Scottie Scheffler,68.8,688,10,2022,69.17,1591,23,49.0,0.588,20.0,34.0,49.0,0.141,4.781,34.0,49.0,0.944,0.141,0.495,0.308,34.0,69.0,690.0,10.0,49.0,0.308,10.476,34.0,49.0,0.495,16.831,34.0,6.0,3.0,1.0,0.0,14901992.0,1.0,-17.0,65.26999999999998
Webb Simpson,68.8,344,5,2022,69.36,971,14,27.0,0.278,6.386,23.0,27.0,-0.178,-4.104,23.0,27.0,0.317,-0.178,0.131,0.364,23.0,68.8,344.0,5.0,27.0,0.364,8.376,23.0,27.0,0.131,3.01,23.0,1.0,0.0,0.0,0.0,43720611.0,39.0,45.0,-4.030000000000001
Justin Rose,68.83,413,6,2022,70.11,1262,18,31.0,0.292,5.257,18.0,31.0,0.167,3.013,18.0,31.0,-0.271,0.167,-0.223,-0.216,18.0,69.67,418.0,6.0,31.0,-0.216,-3.889,18.0,31.0,-0.223,-4.016,18.0,1.0,0.0,0.0,0.0,56373923.0,56.0,-33.0,-0.5
Sam Burns,68.88,551,8,2022,68.68,1511,22,38.0,0.385,14.249,37.0,38.0,0.157,5.794,37.0,38.0,1.098,0.157,0.724,0.218,37.0,69.63,557.0,8.0,38.0,0.218,8.052,37.0,38.0,0.724,26.78,37.0,5.0,2.0,0.0,0.0,11483789.0,11.0,-82.0,45.19999999999999
Seamus Power,68.89,620,9,2022,69.1,2073,30,51.0,0.355,11.714,33.0,51.0,0.246,8.117,33.0,51.0,0.225,0.246,0.011,-0.032,33.0,68.67,618.0,9.0,51.0,-0.032,-1.07,33.0,51.0,0.011,0.379,33.0,4.0,0.0,0.0,1.0,6183860.0,41.0,-13.0,12.519999999999996
Garrick Higgo,69.0,414,6,2022,71.25,1425,20,32.0,-0.323,-6.457,20.0,32.0,0.007,0.146,20.0,32.0,-0.258,0.007,-0.115,-0.151,20.0,72.83,437.0,6.0,32.0,-0.151,-3.015,20.0,32.0,-0.115,-2.294,20.0,0.0,0.0,0.0,0.0,1670423.0,82.0,43.0,-3.5900000000000034
Max Homa,69.0,552,8,2022,69.75,1395,20,39.0,0.255,8.665,34.0,39.0,0.421,14.299,34.0,39.0,0.871,0.421,0.433,0.017,34.0,69.88,559.0,8.0,39.0,0.017,0.589,34.0,39.0,0.433,14.724,34.0,2.0,1.0,0.0,0.0,10009860.0,37.0,-25.0,-2.930000000000007
Mackenzie Hughes,69.0,483,7,2022,69.65,1602,23,39.0,0.73,20.431,28.0,39.0,-0.241,-6.757,28.0,39.0,0.021,-0.241,-0.016,0.278,28.0,68.86,482.0,7.0,39.0,0.278,7.781,28.0,39.0,-0.016,-0.446,28.0,2.0,0.0,1.0,0.0,9446136.0,57.0,55.0,-0.0799999999999983
Kevin Na,69.0,207,3,2022,70.83,850,12,22.0,-0.057,-1.027,18.0,22.0,-0.571,-10.272,18.0,22.0,-0.677,-0.571,-0.001,-0.107,18.0,68.33,205.0,3.0,22.0,-0.107,-1.92,18.0,22.0,-0.001,-0.011,18.0,1.0,0.0,0.0,0.0,37139865.0,30.0,-37.0,2.8700000000000045
Lee Hodges,69.1,691,10,2022,70.68,2403,34,51.0,-0.562,-23.031,41.0,51.0,0.256,10.496,41.0,51.0,0.262,0.256,-0.138,0.145,41.0,72.33,651.0,9.0,51.0,0.145,5.932,41.0,51.0,-0.138,-5.674,41.0,2.0,0.0,0.0,1.0,976774.0,204.0,52.0,-1.1599999999999966
Brian Stuard,69.1,691,10,2022,70.5,2820,40,57.0,-0.158,-5.855,37.0,57.0,-0.364,-13.485,37.0,57.0,-0.148,-0.364,-0.012,0.228,37.0,71.11,640.0,9.0,57.0,0.228,8.432,37.0,57.0,-0.012,-0.431,37.0,2.0,0.0,0.0,0.0,11712043.0,220.0,-78.0,6.68
Jon Rahm,69.14,484,7,2022,68.88,1171,17,34.0,-0.115,-3.111,27.0,34.0,1.299,35.062,27.0,34.0,1.698,1.299,0.656,-0.257,27.0,70.14,491.0,7.0,34.0,-0.257,-6.939,27.0,34.0,0.656,17.709,27.0,4.0,0.0,1.0,1.0,31924652.0,2.0,-2.0,-5.939999999999998
Denny McCarthy,69.15,899,13,2022,69.71,2370,34,58.0,0.594,26.75,45.0,58.0,0.019,0.835,45.0,58.0,0.09,0.019,-0.139,0.211,45.0,69.77,907.0,13.0,58.0,0.211,9.474,45.0,58.0,-0.139,-6.257,45.0,2.0,0.0,0.0,0.0,5088597.0,151.0,-33.0,-0.269999999999996
Mito Pereira,69.17,830,12,2022,70.16,2175,31,53.0,0.102,4.401,43.0,53.0,0.361,15.508,43.0,53.0,0.958,0.361,0.619,-0.022,43.0,69.73,767.0,11.0,53.0,-0.022,-0.929,43.0,53.0,0.619,26.603,43.0,1.0,0.0,0.0,1.0,1569682.0,97.0,-12.0,-0.6599999999999966
Cameron Tringale,69.18,761,11,2022,70.27,2108,30,51.0,0.072,2.655,37.0,51.0,-0.233,-8.619,37.0,51.0,0.327,-0.233,0.354,0.206,37.0,69.89,629.0,9.0,51.0,0.206,7.64,37.0,51.0,0.354,13.081,37.0,3.0,0.0,1.0,1.0,16389256.0,52.0,12.0,-1.1400000000000006
Aaron Rai,69.2,692,10,2022,70.21,2387,34,51.0,-0.209,-7.3,35.0,51.0,0.106,3.715,35.0,51.0,0.4,0.106,0.356,-0.063,35.0,71.56,644.0,9.0,51.0,-0.063,-2.198,35.0,51.0,0.356,12.472,35.0,1.0,0.0,0.0,0.0,822802.0,115.0,-2.0,-2.6000000000000085
Viktor Hovland,69.25,554,8,2022,68.56,1234,18,37.0,0.282,8.446,30.0,37.0,0.588,17.653,30.0,37.0,0.77,0.588,1.019,-0.838,30.0,69.13,553.0,8.0,37.0,-0.838,-25.145,30.0,37.0,1.019,30.577,30.0,4.0,1.0,1.0,0.0,11401338.0,4.0,47.0,-3.319999999999993
Abraham Ancer,69.29,485,7,2022,69.43,1458,21,39.0,0.017,0.463,28.0,39.0,0.229,6.402,28.0,39.0,-0.257,0.229,-0.063,-0.423,28.0,70.43,493.0,7.0,39.0,-0.423,-11.838,28.0,39.0,-0.063,-1.762,28.0,2.0,0.0,0.0,0.0,14339916.0,16.0,-20.0,5.759999999999991
Jason Dufner,69.33,208,3,2022,71.95,1367,19,24.0,-0.257,-3.34,13.0,24.0,-0.222,-2.892,13.0,24.0,-0.494,-0.222,-0.067,-0.205,13.0,71.33,214.0,3.0,24.0,-0.205,-2.664,13.0,24.0,-0.067,-0.865,13.0,0.0,0.0,0.0,0.0,27739672.0,516.0,-114.0,-0.6400000000000006
Beau Hossler,69.33,416,6,2022,70.17,1614,23,34.0,0.856,24.822,29.0,34.0,-0.179,-5.179,29.0,34.0,-0.188,-0.179,-0.271,0.262,29.0,72.83,437.0,6.0,34.0,0.262,7.598,29.0,34.0,-0.271,-7.871,29.0,2.0,0.0,0.0,1.0,5806927.0,236.0,-101.0,-0.6900000000000048
Marc Leishman,69.33,624,9,2022,69.15,1383,20,41.0,0.571,21.129,37.0,41.0,0.072,2.671,37.0,41.0,0.582,0.072,0.353,0.157,37.0,68.78,619.0,9.0,41.0,0.157,5.792,37.0,41.0,0.353,13.056,37.0,3.0,0.0,0.0,1.0,34638519.0,43.0,-27.0,-3.0200000000000102
Louis Oosthuizen,69.33,416,6,2022,68.85,895,13,28.0,-0.008,-0.191,25.0,28.0,0.519,12.97,25.0,28.0,0.748,0.519,-0.147,0.376,25.0,70.5,423.0,6.0,28.0,0.376,9.4,25.0,28.0,-0.147,-3.672,25.0,0.0,0.0,0.0,0.0,28098634.0,15.0,98.0,-5.3300000000000125
Brandon Wu,69.33,416,6,2022,70.82,1983,28,36.0,0.185,3.334,18.0,36.0,-0.391,-7.03,18.0,36.0,-0.928,-0.391,-0.033,-0.505,18.0,70.5,282.0,4.0,36.0,-0.505,-9.081,18.0,36.0,-0.033,-0.597,18.0,1.0,0.0,0.0,1.0,581626.0,331.0,-81.0,0.990000000000002
Russell Henley,69.36,763,11,2022,68.39,1573,23,47.0,0.194,7.19,37.0,47.0,-0.074,-2.733,37.0,47.0,1.376,-0.074,1.105,0.345,37.0,68.82,757.0,11.0,47.0,0.345,12.751,37.0,47.0,1.105,40.895,37.0,2.0,0.0,1.0,0.0,19851739.0,42.0,-1.0,-3.719999999999999
Jhonattan Vegas,69.36,763,11,2022,69.59,1879,27,47.0,-0.01,-0.317,33.0,47.0,0.611,20.174,33.0,47.0,0.752,0.611,0.314,-0.174,33.0,70.4,704.0,10.0,47.0,-0.174,-5.737,33.0,47.0,0.314,10.369,33.0,1.0,0.0,0.0,0.0,15423122.0,86.0,-123.0,6.469999999999999
Billy Horschel,69.43,486,7,2022,68.75,1100,16,34.0,0.68,17.004,25.0,34.0,0.403,10.067,25.0,34.0,0.713,0.403,-0.009,0.32,25.0,69.43,486.0,7.0,34.0,0.32,7.997,25.0,34.0,-0.009,-0.232,25.0,3.0,0.0,1.0,0.0,30321742.0,13.0,-13.0,1.5599999999999739
Kevin Kisner,69.43,486,7,2022,70.33,1477,21,40.0,0.774,23.215,30.0,40.0,-0.173,-5.203,30.0,40.0,-0.114,-0.173,-0.233,0.292,30.0,67.5,405.0,6.0,40.0,0.292,8.751,30.0,40.0,-0.233,-6.975,30.0,4.0,0.0,1.0,1.0,28074004.0,27.0,6.0,41.640000000000015
Christiaan Bezuidenhout,69.44,625,9,2022,69.92,1678,24,43.0,-0.004,-0.097,27.0,43.0,0.227,6.137,27.0,43.0,0.614,0.227,0.136,0.251,27.0,70.33,633.0,9.0,43.0,0.251,6.774,27.0,43.0,0.136,3.665,27.0,0.0,0.0,0.0,0.0,1707435.0,61.0,23.0,-5.780000000000001
Danny Lee,69.5,417,6,2022,70.91,1560,22,32.0,-0.248,-4.959,20.0,32.0,0.026,0.52,20.0,32.0,-0.535,0.026,-0.132,-0.43,20.0,70.8,354.0,5.0,32.0,-0.43,-8.596,20.0,32.0,-0.132,-2.635,20.0,2.0,0.0,1.0,0.0,14748936.0,261.0,-37.0,-0.11000000000000654
Andrew Putnam,69.5,695,10,2022,70.18,2386,34,52.0,0.221,8.616,39.0,52.0,-0.382,-14.91,39.0,52.0,-0.034,-0.382,0.234,0.114,39.0,70.3,703.0,10.0,52.0,0.114,4.458,39.0,52.0,0.234,9.139,39.0,1.0,0.0,0.0,0.0,7954758.0,144.0,82.0,-1.5599999999999952
Robert Streb,69.5,556,8,2022,70.77,2194,31,45.0,0.117,4.323,37.0,45.0,-0.122,-4.508,37.0,45.0,-0.138,-0.122,-0.105,0.089,37.0,70.14,491.0,7.0,45.0,0.089,3.282,37.0,45.0,-0.105,-3.896,37.0,3.0,0.0,0.0,0.0,12530606.0,134.0,-36.0,5.68
Dylan Wu,69.5,556,8,2022,70.29,1968,28,41.0,0.303,7.578,25.0,41.0,-0.21,-5.241,25.0,41.0,-0.215,-0.21,0.108,-0.114,25.0,72.29,506.0,7.0,41.0,-0.114,-2.854,25.0,41.0,0.108,2.711,25.0,0.0,0.0,0.0,0.0,276378.0,371.0,77.0,-0.8200000000000003
Adam Hadwin,69.55,765,11,2022,69.4,2082,30,50.0,0.292,10.506,36.0,50.0,-0.033,-1.196,36.0,50.0,0.925,-0.033,0.612,0.346,36.0,69.64,766.0,11.0,50.0,0.346,12.444,36.0,50.0,0.612,22.039,36.0,4.0,0.0,0.0,0.0,14575297.0,105.0,-93.0,5.969999999999999
Matt Kuchar,69.56,626,9,2022,69.17,1591,23,39.0,0.609,19.476,32.0,39.0,-0.229,-7.337,32.0,39.0,0.235,-0.229,-0.138,0.602,32.0,69.5,556.0,8.0,39.0,0.602,19.252,32.0,39.0,-0.138,-4.412,32.0,2.0,0.0,1.0,0.0,54175440.0,148.0,-108.0,0.8800000000000026
Sebastián Muñoz,69.56,626,9,2022,70.74,1910,27,46.0,-0.449,-15.7,35.0,46.0,0.289,10.115,35.0,46.0,0.448,0.289,0.065,0.093,35.0,71.0,568.0,8.0,46.0,0.093,3.266,35.0,46.0,0.065,2.274,35.0,2.0,0.0,0.0,1.0,7942630.0,64.0,-40.0,-0.18000000000000682
Charles Howell III,69.57,487,7,2022,69.29,1455,21,34.0,-0.141,-3.806,27.0,34.0,0.301,8.12,27.0,34.0,0.792,0.301,0.038,0.453,27.0,70.71,495.0,7.0,34.0,0.453,12.23,27.0,34.0,0.038,1.031,27.0,1.0,0.0,0.0,0.0,41663833.0,226.0,-45.0,-1.4100000000000037
Maverick McNealy,69.58,835,12,2022,69.33,1872,27,53.0,0.354,13.796,39.0,53.0,0.418,16.292,39.0,53.0,0.655,0.418,0.317,-0.081,39.0,70.08,841.0,12.0,53.0,-0.081,-3.155,39.0,53.0,0.317,12.378,39.0,2.0,0.0,1.0,0.0,5415606.0,70.0,-25.0,3.219999999999999
Ryan Armour,69.6,348,5,2022,70.53,1340,19,28.0,-0.032,-0.477,15.0,28.0,0.437,6.559,15.0,28.0,0.286,0.437,0.215,-0.366,15.0,70.0,350.0,5.0,28.0,-0.366,-5.492,15.0,28.0,0.215,3.221,15.0,0.0,0.0,0.0,0.0,7316190.0,317.0,-68.0,0.7300000000000004
Alex Noren,69.6,696,10,2022,69.61,1601,23,44.0,0.416,12.075,29.0,44.0,-0.006,-0.171,29.0,44.0,0.43,-0.006,0.287,0.148,29.0,69.89,629.0,9.0,44.0,0.148,4.298,29.0,44.0,0.287,8.327,29.0,2.0,0.0,0.0,0.0,9205174.0,55.0,-83.0,7.090000000000003
Patrick Reed,69.63,557,8,2022,70.76,1769,25,43.0,0.447,12.962,29.0,43.0,-0.797,-23.122,29.0,43.0,-1.336,-0.797,-0.647,0.108,29.0,70.88,567.0,8.0,43.0,0.108,3.122,29.0,43.0,-0.647,-18.757,29.0,1.0,0.0,1.0,0.0,36545952.0,31.0,-16.0,-3.5900000000000034
Cam Davis,69.67,418,6,2022,70.71,1697,24,36.0,-0.064,-2.189,34.0,36.0,-0.054,-1.83,34.0,36.0,-0.171,-0.054,-0.007,-0.111,34.0,68.83,413.0,6.0,36.0,-0.111,-3.768,34.0,36.0,-0.007,-0.222,34.0,1.0,0.0,0.0,0.0,4588481.0,95.0,-27.0,-2.8500000000000085
Matt Jones,69.67,627,9,2022,70.32,2180,31,47.0,-0.137,-5.059,37.0,47.0,0.156,5.755,37.0,47.0,0.74,0.156,0.027,0.557,37.0,68.5,548.0,8.0,47.0,0.557,20.611,37.0,47.0,0.027,0.984,37.0,2.0,0.0,1.0,1.0,17135503.0,83.0,-99.0,-2.3499999999999943
Luke List,69.67,627,9,2022,69.67,1881,27,47.0,-0.827,-28.11,34.0,47.0,0.67,22.778,34.0,47.0,1.699,0.67,0.576,0.453,34.0,68.89,620.0,9.0,47.0,0.453,15.419,34.0,47.0,0.576,19.57,34.0,3.0,1.0,0.0,0.0,11326475.0,58.0,64.0,0.5099999999999909
Camilo Villegas,69.67,418,6,2022,70.89,1985,28,38.0,-0.838,-16.756,20.0,38.0,-0.248,-4.952,20.0,38.0,-0.001,-0.248,-0.031,0.277,20.0,72.0,432.0,6.0,38.0,0.277,5.539,20.0,38.0,-0.031,-0.612,20.0,0.0,0.0,0.0,0.0,20672548.0,391.0,35.0,-0.8000000000000007
Keegan Bradley,69.7,697,10,2022,70.08,1822,26,49.0,-0.187,-6.719,36.0,49.0,0.423,15.224,36.0,49.0,1.253,0.423,0.523,0.307,36.0,69.2,692.0,10.0,49.0,0.307,11.051,36.0,49.0,0.523,18.829,36.0,3.0,0.0,0.0,0.0,29894261.0,69.0,-63.0,-0.539999999999992
Chris Kirk,69.73,767,11,2022,69.61,1949,28,46.0,0.026,0.861,33.0,46.0,0.378,12.46,33.0,46.0,1.245,0.378,0.375,0.492,33.0,70.11,631.0,9.0,46.0,0.492,16.224,33.0,46.0,0.375,12.39,33.0,2.0,0.0,0.0,0.0,20726557.0,85.0,-23.0,-2.3400000000000034
